Tabel 1
SAMPLE,IPUMS sample identifier,SUBSAMP,,Subsample number,HHTYPE,,Household Type,REGION,,Census region and division,STATEFIP,,State (FIPS code),METRO,,Metropolitan status,CITY,,City,CITYERR,,Coverage error in CITY variable,HOMELAND,,"American Indian, Alaska Native, or Native Hawaiian homeland area",CNTRY,,Country,GQ,,Group quarters status,GQTYPE,,Group quarters type [general version],GQTYPED,,Group quarters type [detailed version],FARM,,Farm status,OWNERSHP,,Ownership of dwelling (tenure) [general version],OWNERSHPD,,Ownership of dwelling (tenure) [detailed version],MORTGAGE,,Mortgage status,MORTGAG2,,Second mortgage status,ACREHOUS,,House acreage,TAXINCL,,Mortgage payment includes property taxes,INSINCL,,Mortgage payment includes property insurance,PROPTX99,,"Annual property taxes, 1990",RENTMEAL,,Meals included in rent,UNITSSTR,,Units in structure,BEDROOMS,,Number of bedrooms,NFAMS,,Number of families in household,NSUBFAM,,Number of subfamilies in household,NCOUPLES,,Number of couples in household,NMOTHERS,,Number of mothers in household,NFATHERS,,Number of fathers in household,MULTGEN,,Multigenerational household [general version],MULTGEND,,Multigenerational household [detailed version],CBNSUBFAM,,Number of subfamilies in household (original Census Bureau classification),FAMUNIT,,Family unit membership,SFTYPE,,Subfamily type,SFRELATE,,Relationship within subfamily,CBSUBFAM,,Subfamily number (original Census Bureau classification),CBSFTYPE,,Subfamily type (original Census Bureau classification),CBSFRELATE,,Subfamily relationship (original Census Bureau classification),MOMRULE,,Rule for linking mother (new),POPRULE,,Rule for linking father (new),SPRULE,,Rule for linking spouse or partner (new),MOM2RULE,,Rule for linking second mother (new),POP2RULE,,Rule for linking second father (new),NCHILD,,Number of own children in the household,NCHLT5,,Number of own children under age 5 in household,NSIBS,,Number of own siblings in household,ELDCH,,Age of eldest own child in household,YNGCH,,Age of youngest own child in household,RELATE,,Relationship to household head [general version],RELATED,,Relationship to household head [detailed version],SEX,Sex,AGE,Age,MARST,Marital status,MARRNO,Times married,MARRINYR,Married within the past year,DIVINYR,Divorced in the past year,WIDINYR,Widowed in the past year,FERTYR,Children born within the last year,RACE,Race [general version],RACED,Race [detailed version],HISPAN,Hispanic origin [general version],HISPAND,Hispanic origin [detailed version],BPL,Birthplace [general version],BPLD,Birthplace [detailed version],ANCESTR1,"Ancestry, first response [general version]",ANCESTR2,"Ancestry, second response [general version]",ANCESTR2D,"Ancestry, second response [detailed version]",CITIZEN,Citizenship status,YRSUSA2,"Years in the United States, intervalled",LANGUAGE,Language spoken [general version],LANGUAGED,Language spoken [detailed version],SPEAKENG,Speaks English,TRIBE,Tribe [general version],TRIBED,Tribe [detailed version],EDUC,Educational attainment [general version],EDUCD,Educational attainment [detailed version],GRADEATT,Grade level attending [general version],GRADEATTD,Grade level attending [detailed version],SCHLTYPE,Public or private school,DEGFIELD,Field of degree [general version],DEGFIELDD,Field of degree [detailed version],EMPSTAT,Employment status [general version],EMPSTATD,Employment status [detailed version],LABFORCE,Labor force status,CLASSWKR,Class of worker [general version],CLASSWKRD,Class of worker [detailed version],OCC1950,"Occupation, 1950 basis",OCC1990,"Occupation, 1990 basis",IND1950,"Industry, 1950 basis",WRKLSTWK,Worked last week,ABSENT,Absent from work last week,LOOKING,Looking for work,AVAILBLE,Available for work,WRKRECAL,Informed of work recall,WORKEDYR,Worked last year,MIGRATE1,"Migration status, 1 year [general version]",MIGRATE1D,"Migration status, 1 year [detailed version]",MIGPLAC1,State or country of residence 1 year ago,MIGMET131,Metropolitan area of residence 1 year ago (2013 delineations),MIGTYPE1,Metropolitan status 1 year ago,PWSTATE2,Place of work: state,PWMET13,Place of work: metropolitan area (2013 delineations),PWTYPE,Place of work: metropolitan status,TRANWORK,Means of transportation to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2471,,"Gastonia, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52200,Iran,790,Montagnard,788,Mnong,5210,Corsico Islander,,,,,,,8040,Shastan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,Punching and stamping press operatives,731,Personnel supply services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2472,,"Geneva, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52300,Maldives,792,Indochinese,790,Montagnard,5220,Ethiopian,,,,,,,8050,Washo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,"Rollers, roll hands, and finishers of metal",732,Computer and data processing services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Georgetown, DC (See Washington, DC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52400,Nepal,793,Eurasian,792,Indochinese,5230,Eritrean,,,,,,,8060,Chumash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,Drilling and boring machine operators,740,Detective and protective services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2473,,"Glen Cove, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East/Asia Minor:,795,Asian,793,Eurasian,5250,Gabonese,,,,,,,,Siouan languages:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,"Grinding, abrading, buffing, and polishing workers",741,"Business services, n.e.c.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2489,,"Glendale, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000,Bahrain,796,Other Asian,795,Asian,5270,Gambian,,,,,,,8100,Siouan languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,Forge and hammer operators,742,"Automotive rental and leasing, without drivers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2490,,"Glendale, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53100,Cyprus,,PACIFIC,796,Other Asian,5290,Ghanian,,,,,,,8101,"Crow, Absaroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,"Fabricating machine operators, n.e.c.",750,Automobile parking and carwashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2491,,"Glens Falls, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53200,Iraq,800,Australian,,PACIFIC,5300,Guinean,,,,,,,8102,Hidatsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal and Plastic Processing Machine Operators:,751,Automotive repair and related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2510,,"Gloucester, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53210,Mesopotamia,801,Tasmanian,800,Australian,5310,Guinea Bissau,,,,,,,8103,Mandan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,"Molders, and casting machine operators",752,Electrical repair shops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2511,,"Gloucester, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53300,Iraq/Saudi Arabia,802,Australian Aborigine,801,Tasmanian,5320,Ivory Coast,,,,,,,8104,"Dakota, Lakota, Nakota, Sioux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,Metal platers,760,Miscellaneous repair services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2512,,"Gloversville, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral Zone,803,New Zealander,802,Australian Aborigine,5340,Kenyan,,,,,,,8105,Chiwere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,Heat treating equipment operators,,PERSONAL SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2513,,"Goldsboro, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53400,Israel/Palestine,,Polynesian:,803,New Zealander,5380,Lesotho,,,,,,,8106,Winnebago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodworking Machine Operators:,761,Private households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2514,,"Goshen, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53410,Gaza Strip,808,Polynesian,,Polynesian:,5410,Liberian,,,,,,,8107,"Kansa, Kaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,"Wood lathe, routing, and planing machine operators",762,Hotels and motels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2515,,"Grand Forks, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53420,Palestine,810,Maori,808,Polynesian,5430,Madagascan,,,,,,,8108,Omaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,Sawing machine operators and sawyers,770,"Lodging places, except hotels and motels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2516,,"Grand Island, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53430,West Bank,811,Hawaiian,809,Kapinagamarangan,5450,Malawian,,,,,,,8109,Osage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,Shaping and joining machine operator (woodworking),771,"Laundry, cleaning, and garment services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2517,,"Grand Junction, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53440,Israel,813,Part Hawaiian,810,Maori,5460,Malian,,,,,,,8110,Ponca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,Nail and tacking machine operators  (woodworking),772,Beauty shops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2520,,"Granite City, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53500,Jordan,,Samoan:,811,Hawaiian,5470,Mauritanian,,,,,,,8111,"Quapaw, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,Other woodworking machine operators,780,Barber shops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2530,,"Grand Rapids, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53600,Kuwait,814,Samoan,813,Part Hawaiian,5490,Mozambican,,,,,,,8120,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Printing Machine Operators:,781,Funeral service and crematories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2531,,"Grandville, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53700,Lebanon,815,Tongan,814,Samoan,5500,Namibian,,,,,,,8200,Muskogean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,"Printing machine operators, n.e.c.",782,Shoe repair shops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2540,,"Great Falls, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53800,Oman,816,Tokelauan,815,Tongan,5510,Niger,,,,,,,8210,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,Photoengravers and lithographers,790,Dressmaking shops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2541,,"Greeley, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53900,Qatar,817,Cook Islander,816,Tokelauan,5530,Nigerian,,,,,,,8220,"Choctaw, Chickasaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,Typesetters and compositors,791,Miscellaneous personal services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2550,,"Green Bay, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000,Saudi Arabia,818,Tahitian,817,Cook Islander,5540,Fulani,,,,,,,8230,Mikasuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Textile, Apparel, and Furnishings Machine Operators:",,ENTERTAINMENT AND RECREATION SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2551,,"Greenfield, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54100,Syria,819,Niuean,818,Tahitian,5550,Hausa,,,,,,,8240,"Hichita, Apalachicola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,Winding and twisting textile/apparel operatives,800,Theaters and motion pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2570,,"Greensboro, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54200,Turkey,,Micronesia:,819,Niuean,5560,Ibo,,,,,,,8250,Koasati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,"Knitters, loopers, and toppers textile operatives",801,Video tape rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2571,,"Greensburg, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54210,European Turkey,820,Micronesian,,Micronesia:,5570,Tiv (1980),,,,,,,8260,"Muskogee, Creek, Seminole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,Textile cutting machine operators,802,Bowling centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2572,,"Greenville, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54220,Asian Turkey,821,Guamanian,820,Micronesian,5571,Tiv (1990-2000),,,,,,,8300,Keres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,Textile sewing machine operators,810,Miscellaneous entertainment and recreation services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2573,,"Greenville, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54300,United Arab Emirates,822,Chamorro Islander,821,Guamanian,5572,Yoruba (1990-2000),,,,,,,8400,Iroquoian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,Shoemaking machine operators,,PROFESSIONAL AND RELATED SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2574,,"Greenville, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54400,Yemen Arab Republic (North),823,Saipanese,822,Chamorro Islander,5610,Rwandan,,,,,,,8410,Mohawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,Pressing machine operators (clothing),812,Offices and clinics of physicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2575,,"Greenwich, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54500,"Yemen, PDR (South)",824,Palauan,823,Saipanese,5640,Senegalese,,,,,,,8420,Oneida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,Laundry workers,820,Offices and clinics of dentists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2576,,"Greenwood, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54600,"Persian Gulf States, ns",825,Marshall Islander,824,Palauan,5660,Sierra Leonean,,,,,,,8430,Onondaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,Misc textile machine operators,821,Offices and clinics of chiropractors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
